Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2024-05-15,11:12:55,CNR2344125,Cancelled by Customer,472067,Prime SUV,Sahakara Nagar,Vijayanagar,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-24,12:52:43,CNR1446245,Success,154364,Prime Sedan,Kammanahalli,Peenya,8.24,10.25,0,,0,,0,,616,44.51,3.3,4.6
2024-05-12,20:09:11,CNR8722840,Cancelled by System,934656,eBike,Mahadevapura,New BEL Road,,,0,,0,,0,,,,,
2024-05-13,17:45:40,CNR7929333,Cancelled by System,307381,Mini,Old Airport Road,Sarjapur Road,,,0,,0,,0,,,,,
2024-05-26,14:34:57,CNR9654986,Success,385841,Auto,Gokula,Bennigana Halli,6.4,10.99,0,,0,,0,,608,22.73,4.6,4.6
2024-05-02,18:45:30,CNR9218183,Cancelled by Customer,606944,Prime Sedan,Hoodi,Sadashivanagar,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2024-05-08,20:40:24,CNR1949327,Success,454828,Bike,Mathikere,Marathahalli,5.66,5.53,0,,0,,0,,410,1.55,3.8,4.6
2024-05-25,20:15:39,CNR6932474,Success,125984,Mini,Sanjay Nagar,Vasanth Nagar,4.83,6.21,0,,0,,0,,756,1.19,3.8,3.8
2024-05-03,00:19:55,CNR4993183,Cancelled by System,958204,Prime SUV,Bennigana Halli,Basavanagudi,,,0,,0,,0,,,,,
2024-05-13,09:35:59,CNR2613420,Cancelled by Driver,239068,eBike,HSR Layout,JP Nagar,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-10,10:13:19,CNR1553034,Success,558413,Prime Sedan,Sadashivanagar,Kammanahalli,5.78,7.73,0,,0,,0,,802,11.01,4.8,4.5
2024-05-28,14:22:16,CNR8107936,Success,394039,Prime Sedan,Kadugodi,BTM Layout,1.48,4.56,0,,0,,0,,438,44.52,3.5,4.5
2024-05-11,07:17:59,CNR2276274,Cancelled by System,274217,Bike,Hebbal,Richmond Town,,,0,,0,,0,,,,,
2024-05-15,07:40:43,CNR6991681,Cancelled by Driver,912115,eBike,Koramangala,New BEL Road,,,0,,1,Customer related issue,0,,,,,
2024-05-24,05:37:36,CNR3267215,Cancelled by Driver,385961,Prime Sedan,New BEL Road,Indiranagar,,,0,,1,Customer related issue,0,,,,,
2024-05-28,19:29:02,CNR7357171,Cancelled by System,317456,eBike,Vidyaranyapura,Malleshwaram,,,0,,0,,0,,,,,
2024-05-05,09:55:41,CNR5323499,Cancelled by Driver,983227,Prime Plus,Brigade Road,Rajajinagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-19,16:30:11,CNR3419399,Success,965834,Auto,Jalahalli,Kammanahalli,3.73,2.08,0,,0,,0,,62,38.85,3.1,4.9
2024-05-27,22:47:59,CNR3795764,Cancelled by Driver,525272,Prime Sedan,Mahadevapura,Jalahalli,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-26,19:16:35,CNR3748098,Incomplete,138966,Auto,Gokula,Sanjay Nagar,7,14.72,0,,0,,1,Other Issue,513,14.18,3.9,4.2
2024-05-14,05:19:11,CNR2146341,Success,366411,Prime SUV,RT Nagar,Richmond Town,7.91,9.98,0,,0,,0,,658,31.75,3.2,4.9
2024-05-12,13:32:59,CNR3759549,Cancelled by Driver,585160,Prime Plus,Banashankari,Yeshwanthpur,,,0,,1,Customer related issue,0,,,,,
2024-05-31,10:36:33,CNR4968367,Cancelled by Driver,780556,Bike,Sahakara Nagar,Mathikere,,,0,,1,More than permitted people in there,0,,,,,
2024-05-05,21:05:00,CNR5874923,Success,720605,Auto,Langford Town,Banashankari,8.49,7.24,0,,0,,0,,483,43.5,4,4.4
2024-05-18,23:42:19,CNR3678313,Cancelled by Driver,728559,Prime Sedan,Hoodi,Jalahalli,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-24,15:39:11,CNR1902956,Incomplete,594559,eBike,CV Raman Nagar,Old Airport Road,9.17,13.97,0,,0,,1,Customer Demand,397,34.98,4.5,4.4
2024-05-30,19:58:52,CNR2664352,Cancelled by System,735687,Prime SUV,Whitefield,Sanjay Nagar,,,0,,0,,0,,,,,
2024-05-24,03:33:47,CNR7968994,Success,568615,Prime Sedan,Bellandur,Peenya,3.28,10.78,0,,0,,0,,688,27.04,3.2,4.2
2024-05-06,04:17:28,CNR5720930,Cancelled by Driver,151750,Prime Sedan,Old Airport Road,Yeshwanthpur,,,0,,1,More than permitted people in there,0,,,,,
2024-05-10,15:56:23,CNR2525780,Cancelled by Customer,464488,Bike,Brookefield,Hoodi,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-22,01:38:41,CNR4856465,Incomplete,245066,Prime Plus,Bennigana Halli,Sanjay Nagar,9.13,10.8,0,,0,,1,Customer Demand,166,13.98,3.3,4.5
2024-05-12,02:28:25,CNR4016916,Success,792241,Prime SUV,Koramangala,RT Nagar,4.65,7.58,0,,0,,0,,1006,5.13,4.5,3.9
2024-05-29,21:28:33,CNR7484143,Success,113474,Auto,Banashankari,Yeshwanthpur,8.12,10.54,0,,0,,0,,189,32.19,3,4.1
2024-05-08,17:40:57,CNR9030407,Cancelled by Customer,116267,eBike,MG Road,BTM Layout,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-19,13:27:47,CNR9843148,Success,348768,Prime Plus,Vasanth Nagar,Richmond Town,6.88,10.84,0,,0,,0,,73,26.09,3.1,3.6
2024-05-14,00:37:18,CNR3972060,Success,978851,Prime Plus,Jalahalli,Domlur,4.22,2.95,0,,0,,0,,1117,14.87,3.7,4.2
2024-05-16,08:27:14,CNR8479895,Success,322050,Auto,Brigade Road,Rajajinagar,2.81,12.97,0,,0,,0,,161,11.98,3.9,4.5
2024-05-18,21:22:35,CNR2412242,Success,934855,Prime SUV,Kalyan Nagar,MG Road,3.49,4.44,0,,0,,0,,240,17.64,3.7,4.2
2024-05-05,07:48:50,CNR6500366,Success,368042,Prime Sedan,Jalahalli,Vasanth Nagar,5.76,13.52,0,,0,,0,,630,28.9,3.1,4.7
2024-05-05,16:22:18,CNR8830342,Cancelled by Driver,431738,eBike,Koramangala,Sahakara Nagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-12,18:32:01,CNR1178912,Success,735519,Mini,Sahakara Nagar,Ulsoor,5.5,12.73,0,,0,,0,,1390,21.48,4.7,4.6
2024-05-22,12:45:44,CNR3583895,Cancelled by Driver,705323,Auto,Gokula,Vijayanagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-18,09:09:06,CNR4888890,Success,277404,Prime Plus,Bennigana Halli,Koramangala,1.28,13.48,0,,0,,0,,457,12.9,3,3.6
2024-05-24,20:30:45,CNR9394692,Cancelled by Driver,861304,Mini,Marathahalli,Frazer Town,,,0,,1,More than permitted people in there,0,,,,,
2024-05-31,22:29:58,CNR2569515,Success,456707,eBike,Vijayanagar,Hoodi,5.93,12.51,0,,0,,0,,243,14.95,4.5,3.6
2024-05-07,11:19:25,CNR2652101,Success,466995,Prime Sedan,Gokula,Mathikere,5.58,8.14,0,,0,,0,,335,9.27,4.7,3.7
2024-05-31,10:18:49,CNR5261981,Success,494350,Prime SUV,Old Airport Road,New BEL Road,2.02,11.1,0,,0,,0,,261,7.54,4.9,4.6
2024-05-19,15:55:28,CNR3299112,Success,157475,Prime SUV,Basavanagudi,Peenya,1.39,13.04,0,,0,,0,,147,29.3,3.9,3.9
2024-05-04,17:33:45,CNR9538399,Incomplete,487043,Prime SUV,MG Road,Electronic City,9.97,5.8,0,,0,,1,Vehicle Breakdown,891,29.14,4.2,4.2
2024-05-02,11:39:02,CNR4675922,Success,941969,Prime Sedan,Mahadevapura,Basavanagudi,8.95,4.34,0,,0,,0,,647,38.03,3.6,4.8
2024-05-23,14:33:48,CNR5188763,Success,807954,Bike,Commercial Street,Frazer Town,8.15,3.02,0,,0,,0,,713,5.49,4.9,4
2024-05-07,15:05:47,CNR3200448,Success,954381,Prime Sedan,Brookefield,Basavanagudi,2.04,5.61,0,,0,,0,,729,23.17,4.9,4.5
2024-05-10,22:17:50,CNR1676044,Success,313870,Auto,Langford Town,Electronic City,5.12,7.52,0,,0,,0,,800,17.9,4.1,4.6
2024-05-06,09:28:35,CNR4529216,Cancelled by Driver,435106,Prime Sedan,Yeshwanthpur,Sanjay Nagar,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-23,11:53:14,CNR9203935,Success,496559,Mini,Basavanagudi,Domlur,6.63,13.84,0,,0,,0,,240,29.95,3.8,3.7
2024-05-18,03:38:02,CNR1087028,Success,791489,Bike,Basavanagudi,Marathahalli,1.34,9.5,0,,0,,0,,241,44.54,4.4,4.9
2024-05-28,16:49:38,CNR5160746,Cancelled by Driver,457743,Prime Sedan,Vidyaranyapura,Hoodi,,,0,,1,More than permitted people in there,0,,,,,
2024-05-06,14:49:50,CNR1366998,Success,447512,Mini,Peenya,Mathikere,8.02,9.12,0,,0,,0,,600,21.8,4,4.9
2024-05-04,15:07:29,CNR4243898,Success,865042,Bike,Sarjapur Road,Bennigana Halli,3.72,11.06,0,,0,,0,,631,6.78,4.6,4.9
2024-05-22,22:28:56,CNR2006058,Cancelled by Customer,383641,Prime SUV,Bannerghatta Road,Frazer Town,,,1,Change of plans,0,,0,,,,,
2024-05-28,04:13:31,CNR6885704,Incomplete,295974,Prime Sedan,Sanjay Nagar,Cooke Town,8.77,3.76,0,,0,,1,Customer Demand,86,6.75,4.2,4.2
2024-05-13,05:43:49,CNR7230686,Cancelled by Customer,415537,Bike,Old Airport Road,Sahakara Nagar,,,1,Change of plans,0,,0,,,,,
2024-05-22,07:07:01,CNR6594778,Success,329687,Mini,Mahadevapura,JP Nagar,3.41,13.12,0,,0,,0,,978,19.19,5,3.8
2024-05-25,03:42:22,CNR4057221,Success,542043,Bike,Bannerghatta Road,Electronic City,2.28,6.55,0,,0,,0,,685,31.24,3.4,4.5
2024-05-24,01:22:39,CNR9887907,Cancelled by Customer,777452,Bike,Basavanagudi,Hoodi,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2024-05-05,10:41:26,CNR7266549,Success,253692,Mini,RT Nagar,Whitefield,4.83,10.36,0,,0,,0,,220,17.39,4.5,4.4
2024-05-02,09:15:39,CNR5350938,Success,949689,Bike,BTM Layout,Vijayanagar,9.82,13.4,0,,0,,0,,819,26.82,4.8,4.5
2024-05-21,00:29:06,CNR3260860,Success,667126,Mini,Sarjapur Road,Basavanagudi,2.77,14.93,0,,0,,0,,463,21.24,3.6,5
2024-05-05,17:32:27,CNR5600217,Cancelled by Customer,795604,Mini,Peenya,Sanjay Nagar,,,1,Change of plans,0,,0,,,,,
2024-05-23,00:49:16,CNR8757487,Success,675769,Auto,Mahadevapura,New BEL Road,8.38,10.2,0,,0,,0,,643,10.86,4.9,5
2024-05-24,07:19:24,CNR3877588,Success,497170,Prime Plus,Whitefield,Koramangala,5.59,10.38,0,,0,,0,,433,21.38,4.8,4.9
2024-05-07,08:59:16,CNR3401383,Success,950563,Prime Sedan,Kadugodi,Indiranagar,3.7,6.74,0,,0,,0,,156,3.69,3.8,3.6
2024-05-03,18:56:29,CNR5393896,Success,814996,eBike,Frazer Town,Peenya,2.56,7.9,0,,0,,0,,379,9.17,3.9,4.9
2024-05-13,10:40:33,CNR4189988,Success,422968,Prime SUV,New BEL Road,Cooke Town,8.04,3.01,0,,0,,0,,385,38.07,4.5,3.7
2024-05-24,09:40:23,CNR1470141,Success,930583,Mini,Kalyan Nagar,Commercial Street,2.78,4.76,0,,0,,0,,401,8.75,4.9,4.3
2024-05-08,13:12:48,CNR1743641,Success,178657,Mini,Bannerghatta Road,Sadashivanagar,9.65,4.83,0,,0,,0,,82,31.3,3.6,3.9
2024-05-06,01:42:45,CNR8595783,Cancelled by Customer,678412,Prime SUV,HSR Layout,Domlur,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2024-05-12,00:07:05,CNR9784808,Cancelled by Customer,400867,Prime SUV,Banashankari,Vijayanagar,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-12,07:59:51,CNR6408316,Cancelled by System,922979,eBike,Vasanth Nagar,CV Raman Nagar,,,0,,0,,0,,,,,
2024-05-01,06:43:51,CNR7479243,Incomplete,750909,Bike,Varthur,Commercial Street,2.11,10.06,0,,0,,1,Other Issue,963,10.94,3.9,4.3
2024-05-18,15:33:39,CNR9072949,Cancelled by Driver,215099,Auto,Whitefield,Hebbal,,,0,,1,More than permitted people in there,0,,,,,
2024-05-22,08:59:26,CNR2038919,Cancelled by Driver,688619,Prime Sedan,Koramangala,Sadashivanagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-28,01:44:06,CNR8460391,Cancelled by Driver,557660,Bike,Cooke Town,Electronic City,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-23,10:52:16,CNR5282310,Cancelled by Driver,291674,Prime Sedan,Langford Town,Kadugodi,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-23,22:50:20,CNR5860131,Cancelled by Driver,733613,Mini,Ulsoor,Bellandur,,,0,,1,Customer related issue,0,,,,,
2024-05-11,06:36:30,CNR1499259,Cancelled by System,522973,Mini,Whitefield,MG Road,,,0,,0,,0,,,,,
2024-05-25,02:57:39,CNR9719472,Success,908937,Prime Sedan,Old Airport Road,Ulsoor,6.5,11.64,0,,0,,0,,368,28.91,3.2,4.3
2024-05-26,16:44:37,CNR7094336,Cancelled by Driver,230465,Prime SUV,Sadashivanagar,Varthur,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-30,19:15:35,CNR8068168,Success,750509,Auto,Malleshwaram,Bannerghatta Road,4.44,2.37,0,,0,,0,,53,43.76,4.2,3.5
2024-05-18,15:50:23,CNR6533401,Success,919559,Mini,Bellandur,Vidyaranyapura,3.34,12.61,0,,0,,0,,597,39.97,5,3.8
2024-05-22,10:49:42,CNR1844068,Cancelled by Driver,946527,Mini,Old Airport Road,Brigade Road,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-25,05:42:01,CNR5377370,Cancelled by Customer,714139,Bike,Yeshwanthpur,Kalyan Nagar,,,1,Change of plans,0,,0,,,,,
2024-05-17,21:01:22,CNR8998022,Success,148709,Mini,Richmond Town,CV Raman Nagar,6.77,12.26,0,,0,,0,,292,26.44,4.5,3.6
2024-05-12,21:57:35,CNR2488695,Cancelled by Driver,850548,Mini,Domlur,Jayanagar,,,0,,1,More than permitted people in there,0,,,,,
2024-05-11,01:13:13,CNR9225163,Success,447712,Auto,RT Nagar,BTM Layout,9.24,5.45,0,,0,,0,,444,39.92,4.8,4.3
2024-05-14,00:16:42,CNR3736229,Cancelled by System,256335,Prime Sedan,New BEL Road,Commercial Street,,,0,,0,,0,,,,,
2024-05-13,12:27:06,CNR5952932,Success,898209,Prime Sedan,New BEL Road,Vidyaranyapura,6.55,7.23,0,,0,,0,,270,36.66,4.6,3.5
2024-05-26,08:04:54,CNR1997702,Cancelled by System,133858,Prime Plus,Jayanagar,Koramangala,,,0,,0,,0,,,,,
2024-05-04,20:46:03,CNR1857406,Success,597610,Bike,Commercial Street,Whitefield,7.83,9.8,0,,0,,0,,183,35.35,4.5,4.3
2024-05-19,00:17:43,CNR5564085,Success,544747,eBike,Kammanahalli,Yeshwanthpur,1.85,12.25,0,,0,,0,,74,5.29,3.4,4
2024-05-16,08:47:22,CNR5182928,Cancelled by Driver,726590,eBike,Jayanagar,Rajajinagar,,,0,,1,Customer related issue,0,,,,,
2024-05-20,03:28:56,CNR7638109,Cancelled by System,482738,Mini,Vidyaranyapura,HSR Layout,,,0,,0,,0,,,,,
2024-05-05,22:13:18,CNR4933993,Success,929592,Prime SUV,Jayanagar,Mathikere,8.5,2.32,0,,0,,0,,1135,31.91,3.4,3.5
2024-05-21,06:13:49,CNR3051282,Cancelled by Driver,498977,Prime Plus,Bellandur,Frazer Town,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-27,01:51:02,CNR8983305,Incomplete,917134,Mini,Vasanth Nagar,Indiranagar,7.03,13.54,0,,0,,1,Customer Demand,470,25.53,4.9,4.7
2024-05-05,12:18:23,CNR8917641,Cancelled by System,224949,Mini,Sanjay Nagar,Gokula,,,0,,0,,0,,,,,
2024-05-18,23:22:41,CNR4856256,Success,407560,Prime Sedan,Kammanahalli,Indiranagar,4.02,2.89,0,,0,,0,,388,34.03,4.7,4.3
2024-05-04,15:24:15,CNR3552670,Success,882168,Prime Plus,Jayanagar,Peenya,4.89,3.41,0,,0,,0,,678,30.23,3.9,3.9
2024-05-17,00:08:21,CNR1203962,Incomplete,902343,Auto,Electronic City,Gokula,2.81,9.13,0,,0,,1,Customer Demand,974,30.39,4.8,4.4
2024-05-22,07:38:06,CNR5731495,Success,552086,Auto,Vidyaranyapura,Brigade Road,8.44,11.24,0,,0,,0,,807,3.08,4.7,3.9
2024-05-19,19:46:29,CNR6054834,Success,789953,Prime SUV,Vidyaranyapura,Sadashivanagar,8.82,8.26,0,,0,,0,,90,18.08,4.6,4.2
2024-05-23,03:16:06,CNR4280053,Success,309333,Auto,Koramangala,Old Airport Road,9.69,12.11,0,,0,,0,,699,42.3,4.2,4.8
2024-05-10,11:06:09,CNR4129940,Success,622119,eBike,Langford Town,RT Nagar,9.37,4.11,0,,0,,0,,719,31.62,3.3,4.1
2024-05-29,18:23:54,CNR3185959,Success,214981,Prime SUV,Malleshwaram,Yelahanka,4.39,3.67,0,,0,,0,,320,38.77,4.8,5
2024-05-19,20:28:16,CNR4615924,Success,502109,Prime SUV,Jalahalli,Gokula,9.48,5.49,0,,0,,0,,487,7.95,3.8,4
2024-05-25,19:47:24,CNR1548837,Cancelled by System,249917,eBike,Kammanahalli,Sadashivanagar,,,0,,0,,0,,,,,
2024-05-27,14:15:21,CNR6396949,Success,420288,Bike,Kadugodi,Vasanth Nagar,9.36,10.1,0,,0,,0,,894,23.08,3.4,5
2024-05-11,11:33:33,CNR5593983,Cancelled by System,605955,Prime SUV,Brigade Road,Cooke Town,,,0,,0,,0,,,,,
2024-05-13,20:42:38,CNR7748667,Success,434562,Bike,Brookefield,JP Nagar,3.96,10.35,0,,0,,0,,154,1.73,4.7,4.1
2024-05-18,06:49:50,CNR8062131,Success,764745,Prime Plus,Kalyan Nagar,New BEL Road,5.22,7.09,0,,0,,0,,510,18,4.2,3.8
2024-05-27,11:57:26,CNR2590499,Cancelled by Driver,992786,Bike,Gokula,Vijayanagar,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-20,11:53:23,CNR6450848,Success,606893,eBike,Sarjapur Road,Rajajinagar,2.54,13.52,0,,0,,0,,469,1.31,3.4,4.3
2024-05-14,16:47:55,CNR4165603,Success,960643,Prime Plus,Ulsoor,Sahakara Nagar,9.12,13.88,0,,0,,0,,453,5.9,4.8,4.3
2024-05-13,04:55:08,CNR2272991,Cancelled by Driver,397690,Prime Sedan,HSR Layout,Vidyaranyapura,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-05,13:57:51,CNR2112230,Cancelled by Driver,784758,eBike,Bannerghatta Road,Hoodi,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-23,13:39:20,CNR8310659,Success,338852,Mini,Kadugodi,Bennigana Halli,7.55,4.2,0,,0,,0,,313,41.4,3.9,4.3
2024-05-12,17:27:03,CNR9273164,Success,969596,Prime Plus,Sahakara Nagar,RT Nagar,9.76,9.06,0,,0,,0,,829,22.74,3.3,4.4
2024-05-10,07:41:19,CNR1270683,Incomplete,246704,Bike,Gokula,Mathikere,5.1,12.47,0,,0,,1,Other Issue,123,19.29,4,3.6
2024-05-15,11:59:38,CNR4925547,Success,469617,eBike,Mahadevapura,Jalahalli,1.8,5.68,0,,0,,0,,377,30.97,4,4.5
2024-05-05,13:24:49,CNR8826886,Cancelled by System,378632,Prime Sedan,Sadashivanagar,Mahadevapura,,,0,,0,,0,,,,,
2024-05-04,07:12:15,CNR7100785,Success,981373,eBike,Kadugodi,Frazer Town,7.45,3.25,0,,0,,0,,826,43.83,4.8,3.5
2024-05-16,23:28:17,CNR1401539,Success,290768,Mini,Kalyan Nagar,Domlur,7.83,4.63,0,,0,,0,,120,21.93,4.4,4
2024-05-25,02:07:59,CNR7509728,Cancelled by Driver,861044,Bike,Bellandur,Yeshwanthpur,,,0,,1,More than permitted people in there,0,,,,,
2024-05-27,11:07:14,CNR1795652,Success,255532,Mini,Mahadevapura,Richmond Town,7.15,13.74,0,,0,,0,,500,10.85,4.1,3.5
2024-05-18,00:22:00,CNR4483826,Success,709788,Bike,JP Nagar,Domlur,9.28,8.39,0,,0,,0,,308,35.56,4.8,3.7
2024-05-11,00:44:21,CNR2521270,Success,248431,Prime Sedan,Marathahalli,Brookefield,7.96,9.92,0,,0,,0,,157,6.46,3.5,4.3
2024-05-25,00:31:11,CNR7374378,Success,572718,Prime Plus,Domlur,Hoodi,7.45,4.6,0,,0,,0,,1520,11.67,4.1,4.1
2024-05-24,01:49:26,CNR5246013,Success,350863,Mini,Sanjay Nagar,Kalyan Nagar,2.98,4.31,0,,0,,0,,264,14.04,3.2,3.8
2024-05-26,10:59:18,CNR2192111,Cancelled by Driver,608318,eBike,Sarjapur Road,Langford Town,,,0,,1,The customer was coughing/sick,0,,,,,
2024-05-31,08:52:19,CNR8519824,Success,926822,Mini,New BEL Road,Koramangala,8.61,7.65,0,,0,,0,,239,44.69,3.2,4.2
2024-05-22,13:33:35,CNR9919677,Cancelled by System,358944,Prime Sedan,Sarjapur Road,Kammanahalli,,,0,,0,,0,,,,,
2024-05-12,15:58:15,CNR7726374,Cancelled by Customer,971815,Mini,RT Nagar,Koramangala,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2024-05-27,14:19:17,CNR9596093,Cancelled by System,696077,Prime Plus,Jayanagar,Basavanagudi,,,0,,0,,0,,,,,
2024-05-01,16:37:36,CNR3146520,Success,809799,Prime Sedan,HSR Layout,Jayanagar,5.11,13.28,0,,0,,0,,210,12.48,4.4,4.8
2024-05-05,13:23:38,CNR2321212,Success,506678,Auto,Whitefield,MG Road,2.73,6.93,0,,0,,0,,604,31.61,4.9,3.6
2024-05-24,08:19:46,CNR7038270,Incomplete,820138,Auto,Varthur,MG Road,5.45,5.4,0,,0,,1,Vehicle Breakdown,201,15.37,3.3,4.6
2024-05-03,11:52:55,CNR8703987,Success,277283,Bike,Jalahalli,Sanjay Nagar,7.06,8.4,0,,0,,0,,194,38.75,4.3,4.9
2024-05-07,00:56:31,CNR9056615,Success,463646,Prime Plus,Hoodi,Sarjapur Road,5.04,3.3,0,,0,,0,,2818,18.25,5,4.1
2024-05-10,04:59:36,CNR9493895,Success,787970,Prime Sedan,HSR Layout,Peenya,2.56,3.4,0,,0,,0,,949,5.96,4.3,4.2
2024-05-07,02:46:22,CNR9749835,Success,273739,Prime SUV,CV Raman Nagar,Bannerghatta Road,1.34,4.73,0,,0,,0,,320,29.79,3.2,4.1
2024-05-05,11:58:02,CNR7107856,Success,775457,Bike,BTM Layout,Vidyaranyapura,2.09,3.55,0,,0,,0,,2776,18.5,3.3,3.6
2024-05-19,19:18:45,CNR5599219,Success,787589,Prime Plus,Jalahalli,Malleshwaram,6.89,5.19,0,,0,,0,,1512,3.63,4.3,3.7
2024-05-08,01:59:49,CNR4052803,Cancelled by Driver,346747,Prime Plus,MG Road,Whitefield,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-28,10:47:22,CNR7862490,Incomplete,312495,Prime SUV,HSR Layout,Varthur,4.47,2.49,0,,0,,1,Vehicle Breakdown,130,37.51,4.3,4.2
2024-05-23,19:33:30,CNR4023732,Success,775364,Mini,Vasanth Nagar,Cooke Town,5.45,8.19,0,,0,,0,,841,31.38,3.4,4.8
2024-05-20,11:21:43,CNR1996618,Success,686491,Bike,Basavanagudi,Rajajinagar,9.26,4.94,0,,0,,0,,854,28.78,4,3.7
2024-05-12,10:27:28,CNR8712678,Cancelled by Customer,676575,Prime SUV,Vijayanagar,Bennigana Halli,,,1,Change of plans,0,,0,,,,,
2024-05-16,11:16:51,CNR5804746,Cancelled by Driver,583329,Prime Sedan,Koramangala,Commercial Street,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-26,11:46:09,CNR6864420,Cancelled by Driver,876694,Mini,Peenya,Yelahanka,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-28,21:09:26,CNR4256989,Success,941223,Mini,MG Road,Banashankari,7.65,2.06,0,,0,,0,,66,31.36,4.7,4.7
2024-05-27,13:43:34,CNR6460924,Cancelled by Customer,856892,Prime Sedan,Jayanagar,Bannerghatta Road,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2024-05-21,13:57:55,CNR7911653,Success,870044,Mini,Jalahalli,Kadugodi,3.04,8.81,0,,0,,0,,487,27.41,3.1,4.7
2024-05-18,15:35:02,CNR8406277,Success,233294,Prime Plus,New BEL Road,Jalahalli,3.83,14.21,0,,0,,0,,376,7.16,4.4,4
2024-05-25,15:07:13,CNR8441442,Success,661247,Prime Plus,JP Nagar,Rajajinagar,5.53,9.83,0,,0,,0,,471,13.26,3.3,4.7
2024-05-11,12:55:03,CNR9427286,Cancelled by System,992315,Auto,Gokula,BTM Layout,,,0,,0,,0,,,,,
2024-05-22,19:31:45,CNR2891318,Success,943053,Mini,Bannerghatta Road,Vidyaranyapura,8.25,7.58,0,,0,,0,,207,39.73,4,4.5
2024-05-29,23:03:31,CNR2266563,Cancelled by Customer,391317,Mini,Bellandur,Kammanahalli,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-09,20:35:27,CNR7838003,Success,817595,Auto,Yelahanka,Banashankari,8.17,5.72,0,,0,,0,,57,10.6,4.4,4.3
2024-05-05,18:40:32,CNR3559237,Success,468017,Mini,Bennigana Halli,Whitefield,2.78,5,0,,0,,0,,828,30.36,3.8,4.3
2024-05-11,06:47:54,CNR6145024,Cancelled by Driver,429509,Auto,Yeshwanthpur,Old Airport Road,,,0,,1,Personal & Car related issues,0,,,,,
2024-05-12,09:46:12,CNR2281788,Cancelled by Driver,545526,Prime SUV,Ulsoor,Jayanagar,,,0,,1,Customer related issue,0,,,,,
2024-05-18,10:47:27,CNR1503326,Cancelled by Driver,938244,eBike,MG Road,Electronic City,,,0,,1,More than permitted people in there,0,,,,,
2024-05-14,08:39:19,CNR5176670,Success,410395,Mini,Banashankari,Bellandur,1.81,10.96,0,,0,,0,,375,15.8,4.4,4.5
2024-05-11,16:00:40,CNR8634160,Cancelled by System,861928,eBike,Kammanahalli,RT Nagar,,,0,,0,,0,,,,,
2024-05-04,03:34:34,CNR8757901,Cancelled by Customer,756390,Prime Sedan,Bannerghatta Road,Vasanth Nagar,,,1,Driver asked to cancel,0,,0,,,,,
2024-05-15,21:40:29,CNR3160336,Cancelled by Customer,898959,Auto,Commercial Street,Peenya,,,1,Wrong Address,0,,0,,,,,
2024-05-03,19:13:36,CNR7820780,Success,336062,Prime Plus,Bannerghatta Road,Yelahanka,7.16,2.58,0,,0,,0,,366,23.19,3.3,4.6
2024-05-19,06:59:45,CNR9918600,Success,572247,Mini,Vidyaranyapura,Mahadevapura,9.57,7,0,,0,,0,,285,25.9,3.1,4
2024-05-28,13:15:00,CNR5716790,Success,674338,Mini,Sadashivanagar,Domlur,6.47,9.8,0,,0,,0,,172,22.93,4.4,4.6
2024-05-22,06:00:15,CNR8795815,Cancelled by System,563551,Prime Plus,Richmond Town,Sarjapur Road,,,0,,0,,0,,,,,
2024-05-01,03:28:43,CNR6164644,Success,873809,Prime Plus,Richmond Town,Hebbal,4.77,10.08,0,,0,,0,,471,35.63,4.2,3.9
